Dag;Prediktion;Övre konfidenslinje
2020-03-10;8;13
2020-03-11;8;14
2020-03-12;9;14
2020-03-13;9;15
2020-03-14;10;16
2020-03-15;11;18
2020-03-16;12;19
2020-03-17;13;20
2020-03-18;14;22
2020-03-19;15;23
2020-03-20;17;25
2020-03-21;18;26
2020-03-22;19;28
2020-03-23;21;30
2020-03-24;22;32
2020-03-25;24;33
2020-03-26;25;35
2020-03-27;27;37
2020-03-28;29;40
2020-03-29;31;42
2020-03-30;33;44
2020-03-31;35;46
2020-04-01;37;49
2020-04-02;39;51
2020-04-03;41;54
2020-04-04;43;56
2020-04-05;45;59
2020-04-06;48;62
2020-04-07;50;64
2020-04-08;52;67
2020-04-09;55;70
2020-04-10;57;72
2020-04-11;59;75
2020-04-12;62;77
2020-04-13;64;80
2020-04-14;66;82
2020-04-15;68;85
2020-04-16;70;87
2020-04-17;72;89
2020-04-18;74;91
2020-04-19;76;93
2020-04-20;77;95
2020-04-21;78;96
2020-04-22;80;97
2020-04-23;80;98
2020-04-24;81;99
2020-04-25;82;100
2020-04-26;82;100
2020-04-27;82;100
2020-04-28;82;100
2020-04-29;82;100
2020-04-30;81;99
2020-05-01;80;98
2020-05-02;79;97
2020-05-03;78;96
2020-05-04;77;94
2020-05-05;75;93
2020-05-06;74;91
2020-05-07;72;89
2020-05-08;70;87
2020-05-09;68;85
2020-05-10;66;82
2020-05-11;64;80
2020-05-12;62;77
2020-05-13;59;75
2020-05-14;57;72
2020-05-15;55;70
2020-05-16;53;67
2020-05-17;50;65
2020-05-18;48;62
2020-05-19;46;59
2020-05-20;44;57
2020-05-21;42;55
2020-05-22;40;52
2020-05-23;38;50
2020-05-24;36;48
2020-05-25;34;46
2020-05-26;32;44
2020-05-27;31;42
2020-05-28;29;40
2020-05-29;27;38
2020-05-30;26;36
2020-05-31;25;34
2020-06-01;23;33
2020-06-02;22;31
2020-06-03;21;30
2020-06-04;20;29
2020-06-05;19;27
2020-06-06;18;26
2020-06-07;17;25
2020-06-08;16;24
2020-06-09;15;23
2020-06-10;14;22
2020-06-11;14;21
2020-06-12;13;20
2020-06-13;12;19
2020-06-14;12;19
2020-06-15;11;18
2020-06-16;11;17
2020-06-17;10;17
2020-06-18;10;16
2020-06-19;9;15
2020-06-20;9;15
2020-06-21;9;15
2020-06-22;8;14
2020-06-23;8;14
2020-06-24;8;13
2020-06-25;7;13
2020-06-26;7;13
2020-06-27;7;12
2020-06-28;7;12
2020-06-29;7;12
2020-06-30;6;11
2020-07-01;6;11
2020-07-02;6;11
2020-07-03;6;11
2020-07-04;6;11
2020-07-05;6;10
2020-07-06;6;10
2020-07-07;5;10
2020-07-08;5;10
2020-07-09;5;10
2020-07-10;5;10
2020-07-11;5;10
2020-07-12;5;9
2020-07-13;5;9
2020-07-14;5;9
2020-07-15;5;9
2020-07-16;5;9
2020-07-17;5;9
2020-07-18;5;9
2020-07-19;5;9
2020-07-20;5;9
2020-07-21;4;9
2020-07-22;4;9
2020-07-23;4;9
2020-07-24;4;9
2020-07-25;4;9
2020-07-26;4;8
2020-07-27;4;8
2020-07-28;4;8
2020-07-29;4;8
2020-07-30;4;8
2020-07-31;4;8
2020-08-01;4;8
2020-08-02;4;8
2020-08-03;4;8
2020-08-04;4;8
2020-08-05;4;8
2020-08-06;4;8
2020-08-07;4;8
2020-08-08;4;8
2020-08-09;4;8
